"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Burkina Faso","BFA","Renewable internal freshwater resources per capita (cubic meters)","ER.H2O.INTR.PC","","","2519.99566157547","","","","","2339.50131938516","","","","","2145.85901568932","","","","","1953.4500663001","","","","","1746.23563983122","","","","","1535.61276416071","","","","","1344.50339583912","","","","","1171.99813305385","","","","","1016.83057975612","","","","","877.068592587676","","","","","754.318655338289","","710.79198888526","","","","","",
"Bangladesh","BGD","Renewable internal freshwater resources per capita (cubic meters)","ER.H2O.INTR.PC","","","2068.87758484827","","","","","1778.62853815588","","","","","1575.96831433153","","","","","1429.27957340061","","","","","1251.01083164496","","","","","1097.5093926683","","","","","972.368941891454","","","","","873.8307852816","","","","","792.583914595505","","","","","736.013761803067","","","","","695.328288556631","","679.522951848738","","","","","",
"Bulgaria","BGR","Renewable internal freshwater resources per capita (cubic meters)","ER.H2O.INTR.PC","","","2620.75895681813","","","","","2527.00708741254","","","","","2448.63692544484","","","","","2385.22983904355","","","","","2354.93145635578","","","","","2340.78248345652","","","","","2458.96917202058","","","","","2526.44708873893","","","","","2679.54173711628","","","","","2783.17551844596","","","","","2874.39391351195","","2907.00169353613","","","","","",
"Bahrain","BHR","Renewable internal freshwater resources per capita (cubic meters)","ER.H2O.INTR.PC","","","23.1021577415331","","","","","20.4016056063612","","","","","17.4554340948266","","","","","13.1937000082461","","","","","10.3640367923306","","","","","8.90926139995679","","","","","7.64692612687015","","","","","6.72346877200885","","","","","5.4410960543892","","","","","3.86130575846181","","","","","3.07705799408128","","2.99384390846322","","","","","",
"Bahamas, The","BHS","Renewable internal freshwater resources per capita (cubic meters)","ER.H2O.INTR.PC","","","5780.77644085853","","","","","4586.55484209147","","","","","3935.54698480879","","","","","3551.47868351759","","","","","3179.15924862842","","","","","2877.44942882629","","","","","2631.29207717956","","","","","2435.98577384308","","","","","2275.23890008451","","","","","2074.75643841382","","","","","1925.27723992255","","1888.66075066171","","","","","",
"Bosnia and Herzegovina","BIH","Renewable internal freshwater resources per capita (cubic meters)","ER.H2O.INTR.PC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8385.14803683607","","","","","9501.96329297899","","","","","9443.02887678231","","","","","9434.49879955969","","","","","9847.51060479804","","10194.9855604543","","","","","",
"Belarus","BLR","Renewable internal freshwater resources per capita (cubic meters)","ER.H2O.INTR.PC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3328.11276429131","","","","","3360.68004349115","","","","","3446.33668601075","","","","","3556.13085850333","","","","","3592.37339129029","","3588.57570591242","","","","","",
"Belize","BLZ","Renewable internal freshwater resources per capita (cubic meters)","ER.H2O.INTR.PC","","","156699.252443933","","","","","135413.33901253","","","","","120015.729453401","","","","","111395.805502632","","","","","100726.072607261","","","","","87540.1560348784","","","","","78528.6428850785","","","","","68869.031501038","","","","","58160.3640549131","","","","","51032.5223643508","","","","","45147.9289940828","","43184.6866987769","","","","","",
"Bermuda","BMU","Renewable internal freshwater resources per capita (cubic meters)","ER.H2O.INTR.PC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","Renewable internal freshwater resources per capita (cubic meters)","ER.H2O.INTR.PC","","","79805.6266253658","","","","","72112.9400314969","","","","","64817.3261945289","","","","","58049.9945297205","","","","","52198.4849540232","","","","","47106.6212973769","","","","","42382.8223189199","","","","","38236.4227943001","","","","","34714.2235897961","","","","","31752.0465423277","","","","","29245.4688313646","","28347.2206694297","","","","","",
"Brazil","BRA","Renewable internal freshwater resources per capita (cubic meters)","ER.H2O.INTR.PC","","","73986.1428306604","","","","","64303.3754421808","","","","","56689.7153770718","","","","","50353.3934753814","","","","","44751.5845942421","","","","","40179.8256222539","","","","","36697.9304597231","","","","","33855.825019987","","","","","31531.0136844934","","","","","29774.2955345662","","","","","28406.226155028","","27919.193735507","","","","","",
"Barbados","BRB","Renewable internal freshwater resources per capita (cubic meters)","ER.H2O.INTR.PC","","","343.889302033675","","","","","338.039119577113","","","","","331.242365898598","","","","","321.366450146021","","","","","314.858982533198","","","","","310.054685895225","","","","","304.314417656323","","","","","298.299320996171","","","","","292.584803876749","","","","","287.047003946896","","","","","281.988015509341","","280.874221012903","","","","","",
"Brunei Darussalam","BRN","Renewable internal freshwater resources per capita (cubic meters)","ER.H2O.INTR.PC","","","94992.2329880086","","","","","75590.4951622083","","","","","59849.882412584","","","","","48650.9381045594","","","","","41249.1204231674","","","","","35779.9825730438","","","","","31034.1302411169","","","","","27247.2576436572","","","","","24511.0761227515","","","","","22668.7824196925","","","","","21303.845469424","","20743.3944490676","","","","","",
"Bhutan","BTN","Renewable internal freshwater resources per capita (cubic meters)","ER.H2O.INTR.PC","","","405024.003001441","","","","","351920.932627516","","","","","299847.235724115","","","","","255769.62426096","","","","","221479.295182942","","","","","192186.31147939","","","","","177730.881769676","","","","","146816.528278495","","","","","131489.664263057","","","","","117315.108381112","","","","","111177.152240006","","108475.556841192","","","","","",
"Botswana","BWA","Renewable internal freshwater resources per capita (cubic meters)","ER.H2O.INTR.PC","","","4582.09394056261","","","","","4108.94174205433","","","","","3597.7046644241","","","","","2998.01756088786","","","","","2492.5353758276","","","","","2078.09120395946","","","","","1760.10631042115","","","","","1558.01158771118","","","","","1407.92025539673","","","","","1279.68673268784","","","","","1176.72958410944","","1149.08738522293","","","","","",
"Central African Republic","CAF","Renewable internal freshwater resources per capita (cubic meters)","ER.H2O.INTR.PC","","","90855.7841627414","","","","","82538.0992353811","","","","","75490.6086470477","","","","","69120.3915449584","","","","","60376.8284865585","","","","","53271.0704084871","","","","","47647.4333240066","","","","","41563.053805584","","","","","37084.4958402242","","","","","33587.3425742197","","","","","31782.4189125679","","31584.7833026259","","","","","",
"Canada","CAN","Renewable internal freshwater resources per capita (cubic meters)","ER.H2O.INTR.PC","","","153110.561942624","","","","","139623.750734862","","","","","128271.699081975","","","","","120122.180695539","","","","","113469.227265007","","","","","107764.321018039","","","","","100453.754897914","","","","","95298.7679909027","","","","","90879.8731023605","","","","","86655.0467823233","","","","","82098.9161157061","","80423.4279371518","","","","","",
"Central Europe and the Baltics","CEB","Renewable internal freshwater resources per capita (cubic meters)","ER.H2O.INTR.PC","","","1833.88749104716","","","","","1755.64757691869","","","","","1691.88173017565","","","","","1620.34621494081","","","","","1569.24570373371","","","","","1533.38634559234","","","","","2375.55697291218","","","","","2286.65140715333","","","","","2339.29116009255","","","","","2374.38767065253","","","","","2407.362625282","","2417.57717451579","","","","","",
"Switzerland","CHE","Renewable internal freshwater resources per capita (cubic meters)","ER.H2O.INTR.PC","","","7248.17741528917","","","","","6742.56502861835","","","","","6452.68869482552","","","","","6431.91861903523","","","","","6321.08383431313","","","","","6172.55091055821","","","","","5876.05252609171","","","","","5699.04580481107","","","","","5545.82976251906","","","","","5350.20183106685","","","","","5051.9822715438","","4933.65877570281","","","","","",
"Channel Islands","CHI","Renewable internal freshwater resources per capita (cubic meters)","ER.H2O.INTR.PC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Renewable internal freshwater resources per capita (cubic meters)","ER.H2O.INTR.PC","","","104401.410091452","","","","","95037.6902297496","","","","","87591.8997386495","","","","","81023.336643541","","","","","75358.2005176981","","","","","69999.629832466","","","","","64505.2241578406","","","","","59853.0253168152","","","","","56425.460468418","","","","","53538.388385618","","","","","50861.054667473","","49834.0020943795","","","","","",
